USAFLEX INDUSTRIA E COMERCIO SA - 86900925000104
R. MARECHAL DEODORO DA FONSECA, 530  - CASA DA PEDRA     
95650-000 RS IGREJINHA
N° Cliente: 119118652

Período de Referência: 21/11/2025 a 20/12/2025
Data de Vencimento: 17/01/2026 - Filtro:   - (Todos)
Valor: R$ 697,33
Nota Fiscal Claro:301874712/122025:B47 ICMS: Aliquota: 18,00 Base de Calculo: 200,43 Valor Imposto: 36,08
Nota Fiscal Claro:301874712/122025:B47 PIS: Aliquota: 0,65 Base de Calculo: 164,35 Valor Imposto: 1,07
Nota Fiscal Claro:301874712/122025:B47 COFINS: Aliquota: 3,00 Base de Calculo: 164,35 Valor Imposto: 4,93
Nota Fiscal Claro:301874712/122025:B47 COFINS: Aliquota: 7,60 Base de Calculo: 14,77 Valor Imposto: 1,12
Nota Fiscal Claro:301874712/122025:B47 PIS: Aliquota: 1,65 Base de Calculo: 14,77 Valor Imposto: 0,23
Nota Fiscal Claro:313557992/122025 Documento Financeiro: Aliquota: 0,00 Base de Calculo: 0,00 Valor Imposto: 459,09

Identificação para débito automático: 148772336

Tel;Seção;Data;Hora;Origem(UF)-Destino;Número;Duração/Quantidade;Tarifa;Valor;Valor Cobrado;Nome;CC;Matrícula;Sub-Seção;Tipo Imposto;Descrição;Cargo;Nome Local Origem;Nome Local Destino;Código Local Origem;Código Local Destino
11 98999-5533;Claro Pós 6GB : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;1,14;1,14;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99002-3085;Skeelo E-Book Pocket : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;2,14;2,14;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 98999-5533;Skeelo E-Book Pocket : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;,85;,85;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 99013-0254;Skeelo E-Book Pocket : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;,85;,85;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 99011-9953;Skeelo E-Book Pocket : 01/12/2025 a 20/12/2025;01/12/2025;;;;;0,00;3,93;3,93;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 99005-3956;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;,47;,47;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99012-7274;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;,47;,47;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99012-7274;Claro Pós 6GB : 01/12/2025 a 20/12/2025;01/12/2025;;;;;0,00;3,62;3,62;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99011-2580;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,95;,95;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 98995-8291;Claro Pós 6GB : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;,76;,76;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 98997-9473;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,95;,95;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99011-9953;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;1,9;1,9;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99013-0254;Claro Pós 6GB : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;,76;,76;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99015-3726;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;1,9;1,9;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99002-3085;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;2,38;2,38;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99002-3085;Claro Pós 6GB : 01/12/2025 a 20/12/2025;01/12/2025;;;;;0,00;4,51;4,51;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99003-2212;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;1,19;1,19;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99016-0634;Claro Pós 6GB : 28/11/2025 a 30/11/2025;28/11/2025;;;;;0,00;,71;,71;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99005-3956;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;2,38;2,38;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99013-0254;Claro Pós 6GB : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;,95;,95;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99016-0634;Gestor Online : 21/11/2025 a 27/11/2025;21/11/2025;;;;;0,00;1,29;1,29;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 99011-2580;Gestor Online : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,92;,92;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 99015-3726;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;2,86;2,86;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99016-0634;Claro Pós 6GB : 28/11/2025 a 30/11/2025;28/11/2025;;;;;0,00;,85;,85;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99011-2580;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;1,43;1,43;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99015-4895;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;1,43;1,43;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 98995-8291;Claro Pós 6GB : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;1,14;1,14;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99015-3726;Claro Pós 6GB : 01/12/2025 a 20/12/2025;01/12/2025;;;;;0,00;5,41;5,41;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99013-0254;Claro Pós 6GB : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;1,14;1,14;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99015-3726;Skeelo E-Book Pocket : 01/12/2025 a 20/12/2025;01/12/2025;;;;;0,00;3,93;3,93;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 99015-4895;Skeelo E-Book Pocket : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;1,07;1,07;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 99003-2212;Skeelo E-Book Pocket : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;1,07;1,07;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 98997-9473;Skeelo E-Book Pocket : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;1,07;1,07;;;;Mensalidades e Pacotes Promocionais;;;;;;;
11 98997-9473;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,23;,23;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99003-2212;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,23;,23;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99002-3085;Claro Pós 6GB : 01/12/2025 a 20/12/2025;01/12/2025;;;;;0,00;3,62;3,62;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99010-6432;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,95;,95;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99016-0634;Claro Pós 6GB : 28/11/2025 a 30/11/2025;28/11/2025;;;;;0,00;,57;,57;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 98999-5533;Claro Recado Premium : 21/11/2025 a 24/11/2025;21/11/2025;;;;;0,00;,28;,28;;;;Mensalidades e Pacotes Promocionais;ISS;;;;;;
11 99005-3956;Claro Recado Premium : 01/12/2025 a 20/12/2025;01/12/2025;;;;;0,00;1,33;1,33;;;;Mensalidades e Pacotes Promocionais;ISS;;;;;;
11 99003-2212;Claro Recado Premium : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,35;,35;;;;Mensalidades e Pacotes Promocionais;ISS;;;;;;
11 99016-0634;Claro Recado Premium : 28/11/2025 a 30/11/2025;28/11/2025;;;;;0,00;,21;,21;;;;Mensalidades e Pacotes Promocionais;ISS;;;;;;
11 99002-3085;Claro Pós 6GB : 21/11/2025 a 30/11/2025;21/11/2025;;;;;0,00;1,9;1,9;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99010-6432;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;,95;,95;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
11 99011-2580;Claro Pós 6GB : 21/11/2025 a 25/11/2025;21/11/2025;;;;;0,00;1,19;1,19;;;;Mensalidades e Pacotes Promocionais;ICMS;;;;;;
